file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\FluuzCacheManager.java,com.mitchwood.fluuz.FluuzCacheManager,getCacheNames/0,false,50,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\FluuzCacheManager.java,com.mitchwood.fluuz.FluuzCacheManager,"FluuzCacheManager/2[com.mitchwood.fluuz.EventManager,com.mitchwood.fluuz.CacheManager]",true,29,2,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13,1,0,true
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\FluuzCacheManager.java,com.mitchwood.fluuz.FluuzCacheManager,getCache/1[java.lang.String],false,34,3,2,0,2,3,4,13,2,2,1,4,0,0,0,2,0,0,0,0,3,0,1,0,0,0,7,1,0,false
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\FluuzCacheManager.java,com.mitchwood.fluuz.FluuzCacheManager,FluuzCacheManager/1[com.mitchwood.fluuz.EventManager],true,20,2,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,21,1,0,true
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\RedisEventManager.java,com.mitchwood.fluuz.RedisEventManager$Anonymous1,"onPMessage/3[java.lang.String,java.lang.String,java.lang.String]",false,65,0,0,0,0,1,1,3,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,1,false
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\RedisEventManager.java,com.mitchwood.fluuz.RedisEventManager$Anonymous1,"onMessage/2[java.lang.String,java.lang.String]",false,51,1,1,0,1,4,8,10,1,3,2,8,0,0,0,0,0,0,1,1,3,1,1,0,0,0,11,1,1,false
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\RedisEventManager.java,com.mitchwood.fluuz.RedisEventManager$Anonymous2,run/0,false,71,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\projects\fluuz\src\test\java\com\mitchwood\fluuz\RedisEventManagerTest.java,com.mitchwood.fluuz.RedisEventManagerTest,beforeAll/0,false,25,2,1,0,1,1,1,4,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,6,9,0,false
C:\projects\fluuz\src\test\java\com\mitchwood\fluuz\RedisEventManagerTest.java,com.mitchwood.fluuz.RedisEventManagerTest,cleanup/0,false,52,2,1,0,1,2,3,9,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5,9,0,false
C:\projects\fluuz\src\test\java\com\mitchwood\fluuz\RedisEventManagerTest.java,com.mitchwood.fluuz.RedisEventManagerTest,testPut/0,false,31,6,3,0,3,1,9,15,0,3,0,9,0,0,0,0,0,0,10,2,4,0,0,0,0,0,14,1,0,false
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\RedisEventManager.java,com.mitchwood.fluuz.RedisEventManager,doEvict/1[java.lang.String],false,85,1,1,0,1,2,2,6,0,1,1,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,7,4,0,false
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\RedisEventManager.java,com.mitchwood.fluuz.RedisEventManager,RedisEventManager/1[java.lang.String],true,39,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,false
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\RedisEventManager.java,com.mitchwood.fluuz.RedisEventManager,evict/1[java.lang.String],false,104,0,0,0,0,1,3,5,0,1,1,3,0,0,0,0,0,0,1,0,1,2,0,0,0,0,14,1,0,true
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\RedisEventManager.java,com.mitchwood.fluuz.RedisEventManager,close/0,false,79,0,1,1,0,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\RedisEventManager.java,com.mitchwood.fluuz.RedisEventManager,"evict/2[java.lang.String,java.lang.Object]",false,113,0,1,1,0,1,4,5,0,1,2,4,0,0,0,0,0,0,1,0,1,1,0,0,0,0,13,1,1,true
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\RedisEventManager.java,com.mitchwood.fluuz.RedisEventManager,setSeparator/1[java.lang.String],false,144,0,0,0,0,1,1,4,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,12,1,0,true
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\RedisEventManager.java,com.mitchwood.fluuz.RedisEventManager,"RedisEventManager/2[java.lang.String,int]",true,43,4,2,1,1,1,2,28,0,2,2,2,0,0,0,0,0,0,0,1,5,0,0,2,0,0,29,1,0,false
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\RedisEventManager.java,com.mitchwood.fluuz.RedisEventManager,register/1[com.mitchwood.fluuz.FluuzCache],false,119,1,2,1,1,2,4,7,0,1,1,4,0,0,0,1,0,0,2,0,1,0,1,0,0,0,9,1,2,false
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\RedisEventManager.java,com.mitchwood.fluuz.RedisEventManager,setChannelName/1[java.lang.String],false,133,0,0,0,0,1,1,4,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,14,1,0,true
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\RedisEventManager.java,com.mitchwood.fluuz.RedisEventManager,"doEvict/2[java.lang.String,java.lang.String]",false,92,2,2,1,1,2,4,8,0,2,2,4,0,0,0,1,0,0,1,0,2,0,1,0,0,0,10,4,1,false
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\FluuzCache.java,com.mitchwood.fluuz.FluuzCache,get/1[java.lang.Object],false,33,1,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\FluuzCache.java,com.mitchwood.fluuz.FluuzCache,evict/1[java.lang.Object],false,54,1,1,0,1,1,3,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\FluuzCache.java,com.mitchwood.fluuz.FluuzCache,clear/0,false,70,0,1,1,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\FluuzCache.java,com.mitchwood.fluuz.FluuzCache,"get/2[java.lang.Object,java.lang.Class<T>]",false,37,1,0,0,0,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\FluuzCache.java,com.mitchwood.fluuz.FluuzCache,"FluuzCache/2[com.mitchwood.fluuz.EventManager,com.mitchwood.fluuz.Cache]",true,18,2,3,2,1,1,2,6,0,0,2,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,6,1,0,false
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\FluuzCache.java,com.mitchwood.fluuz.FluuzCache,getName/0,false,25,0,1,1,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\FluuzCache.java,com.mitchwood.fluuz.FluuzCache,getProxy/0,false,79,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\FluuzCache.java,com.mitchwood.fluuz.FluuzCache,getNativeCache/0,false,29,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\FluuzCache.java,com.mitchwood.fluuz.FluuzCache,"put/2[java.lang.Object,java.lang.Object]",false,45,0,0,0,0,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\FluuzCache.java,com.mitchwood.fluuz.FluuzCache,publishClear/1[java.lang.String],false,64,1,1,0,1,2,2,5,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,1,0,true
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\FluuzCache.java,com.mitchwood.fluuz.FluuzCache,"get/2[java.lang.Object,java.util.concurrent.Callable<T>]",false,41,1,0,0,0,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\FluuzCache.java,com.mitchwood.fluuz.FluuzCache,"putIfAbsent/2[java.lang.Object,java.lang.Object]",false,49,1,0,0,0,1,1,4,1,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\EventManager.java,com.mitchwood.fluuz.EventManager,"evict/2[java.lang.String,java.lang.Object]",false,5,0,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\EventManager.java,com.mitchwood.fluuz.EventManager,register/1[com.mitchwood.fluuz.FluuzCache],false,8,1,2,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,true
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\EventManager.java,com.mitchwood.fluuz.EventManager,evict/1[java.lang.String],false,6,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
